tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1792978162827030838,979130974884818944,2024-05-21 17:58:00+00:00,org sake surprised couple wedding face lady end edge tiamiyu but edochie lay wicked terms air peace buy siberia,https://t.co/AjGS79ubwf,,en,56,16,14,2,21220.0,Opay
1792895052647162079,1087778780,2024-05-21 12:27:45+00:00,can safety claim attempt undermine air peace iyayi can found infractions foreign carriers never made public idea made public could attempt undermine airline dont see issues raised supposed violations extreme grave global standards captain poland iyayi chief executive officer topbrass aviation,,,en,37,18,5,0,7133.0,
1792805652622086391,1512994377878093831,2024-05-21 06:32:30+00:00,high luxury bodies available sizes pricen18000 locationlagos state deliver nation wide tone alabiobi rereemdee tiamiyupochettinogoal seasonal peaceamrabatbinta yakov,https://t.co/tfIWRzQEE9,,en,4,3,0,0,1409.0,
1792802747882029350,1269217924730048513,2024-05-21 06:20:58+00:00,people losing cars everyday thieves still haven installed car trace car that big risk lets protect car today 08069591473 labor bryan into yakov lamina oui were edge tiamiyu tone alarm pp guardiola mummy see air peace,https://t.co/yDaFy97vSF,,en,42,39,1,0,2072.0,Tapswap
1792802186260603147,1269217924730048513,2024-05-21 06:18:44+00:00,dont wait dangerous situation unfold take control cars safety today reliable gas car cracking device safety nonnegotiable 08069591473 labor bryan into yakov lamina oui were edge tiamiyu tone alarm helicopter air peace mummy see,https://t.co/nkgjOi50PJ,,en,49,45,1,0,2453.0,Tapswap
1792853758587674749,1302217735246680066,2024-05-21 09:43:40+00:00,air peace charities aviation regulatory reports alleged violation patrick airport safety forms read representation,https://t.co/JtceNEikj5,,en,6,2,0,0,7877.0,airlines aircraft aviation
1792977620008874049,439838598,2024-05-21 17:55:51+00:00,desolation good beach have way lagoscalabar coastal highway begins tone alarm iberian army edge tiamiyu john like peter edochie wicked joan never cards buy siberia june town air peace lay pips barcelona,https://t.co/MUhZSpDdE5,,en,1,1,0,0,1054.0,Opay justusgirls Tapswap DEagleOnline
1792976878321447014,439838598,2024-05-21 17:52:54+00:00,73yearold briton killed being 777 suddenly plunged 6000 feet turbulence tone alarm iberian army edge tiamiyu john like peter edochie wicked joan never cards buy siberia june town air peace lay pips barcelona,https://t.co/mwv3Qnt4N7,,en,0,0,0,0,858.0,Opay justusgirls Tapswap DEagleOnline
1792954759567011933,1512994377878093831,2024-05-21 16:25:00+00:00,high luxury men wears available sizes frame 2n11000 frame 4n15000 locationlagos state deliver nationwide grealishbuy nigeriaair peacearsenaldelta igbono wizkidekosodinpeps barcelonamummy zeeemdee tiamiyuportugal,https://t.co/NpHfeTpmAn,,en,1,2,0,0,850.0,
1792814162114158991,1765187115174817792,2024-05-21 07:06:19+00:00,sale luxury bedroom apartment rooms rooms ensuit fitted kitchen swimming pool grm elevator hours power security etc located gloves road old iodi god israel cuba us anthony joshua ran mummy see air peace bane denote,https://t.co/1i3PghDWss,@75,en,11,10,7,0,1848.0,Tapswap
1443104671699292165,1321915389417267204,2021-09-29 06:45:39+00:00,dear can treating customers way isn acceptable unprofessionalna cheating dey hate like say dey speak much english animate start boycott airplane campaign un body woot woot,https://t.co/WYM1TajtgI,@flyairpeace,en,240,206,35,27,,
1711834743048675813,4607388855,2023-10-10 20:03:01+00:00,god good air peace,https://t.co/SIOnBKyZQ5,,en,295,65,17,15,27095.0,
1792624712209543534,1557509048244789249,2024-05-20 18:33:31+00:00,survived thank jesus meanwhile earlier fight another girl fell thank god she alive end god israel mummy see jason air peace prof man yusuf pastor toi blade promise nose big wiz agra bryan end baden ferri,https://t.co/vjv7RiBMDK,,en,134,32,37,3,51566.0,NigerianIdol
1792669221144653993,1557509048244789249,2024-05-20 21:30:23+00:00,liquors married bons sage reveals end god israel mummy see jason air peace prof man yusuf pastor toi blade promise nose wicked agra mala bryan end baden into yakov damilare lamina ajar agra,https://t.co/9LDLVTVGRd,@timiagbaje,tl,12,0,1,0,13315.0,NigerianIdol
1792584528432668927,964422632,2024-05-20 15:53:50+00:00,luxuries big boys iii oka call 2348081569309 deliver wherever wherever want size 4046 price n275000 abuse fraud anthony joshua denote tinubu big wiz manager season anna air peace bane pay,https://t.co/YWVPRvCMKI,,en,10,13,1,0,4584.0,
1792589189877281135,1213815662583222273,2024-05-20 16:12:22+00:00,dear twitter users asking seconds time today help between art us big wiz mummy see israel denote nose abuse tinubu air peace bane,https://t.co/wKgQMHTwIi,@75,en,112,36,10,2,62061.0,Tapswap UBA
1792576865846055275,510846935,2024-05-20 15:23:23+00:00,purchase installation starting customer done in labor price n500000 nationwide delivery payment validates order send callwhatsapp 07036851563 us big wiz mummy see israel denote nose abuse tinubu air peace bane,https://t.co/Q0Nz8Ylb3T,@75,en,107,56,11,3,69794.0,Tapswap UBA
1792665685593923816,1555656793786818567,2024-05-20 21:16:20+00:00,change menu did fade rice available original shapeless stone free unique taste fig n3500 fig n6500 yellow mustard paint n14500 labor siberia deliver worldwide nationwide kindly between nose yescoin air peace mild agra,https://t.co/EaqN5J3gCG,,en,10,5,2,2,8122.0,Tapswap
1792582829370376573,1380788055544631297,2024-05-20 15:47:05+00:00,into chinese movie nose bane god israel air peace moral,https://t.co/ygYUGW53Cl,,en,17,7,5,0,2319.0,Tapswap
1792583782945493093,1380788055544631297,2024-05-20 15:50:53+00:00,difference siberia nigerians nose bane god israel air peace moral,https://t.co/vhJAN5HCyL,,en,73,25,4,1,13827.0,Tapswap
